,,,,,ADT Tu-Th,"67,055","69,725","69,568","77,843","74,758","78,354","82,487","76,646","79,990","77,397","70,581","69,268","74,664"
,,,,,ADT Sa,"57,713","56,305","59,728","72,758","71,779","80,551","88,284","83,688","83,595","80,058","62,354","65,406","71,662"
,,,,,ADT Su,"47,631","49,597","52,553","67,644","66,188","72,020","77,270","77,194","75,088","68,746","54,976","52,208","63,399"
078,PAYERNE S,,VD,H 1,ADT,"9,258","10,257","10,804","10,663","10,973","11,009","10,233","9,675","10,988","10,639","10,712","9,509","10,389"
,,,,,AWT,"10,521","11,459","12,042","12,099","12,373","12,434","11,126","10,970","11,944","11,664","12,095","10,793","11,616"
,,,,,ADT Tu-Th,"10,568","11,516","12,129","12,057","12,556","12,533","11,153","11,002","12,114","11,745","12,242","10,781","11,683"
,,,,,ADT Sa,"7,195","8,067","9,253","8,968","9,291","9,277","8,392","8,138","9,401","8,642","9,233","8,175","8,693"
,,,,,ADT Su,"5,350","6,440","7,153","7,005","6,775","7,416","6,935","6,642","7,317","6,740","6,657","5,906","6,687"
079,SEEBERG N,,BE,H 1,ADT,"6,616","7,433","7,486",,,,,,"8,890","9,356","8,271","7,372",
,,,,,AWT,"7,282","7,809","8,090",,,,,,"9,386","10,004","9,212","8,032",
,,,,,ADT Tu-Th,"7,218","7,780","8,069",,,,,,"9,297","9,907","9,222","7,928",
,,,,,ADT Sa,"6,337","8,394","7,444",,,,,,"8,260","8,596","7,673","7,692",
,,,,,ADT Su,"3,910","4,591","4,991",,,,,,"6,790","6,387","5,103","4,850",
081,"MUTTENZ, HARD (AB)",,BL,A 2,ADT,"124,232","133,431","130,835","132,920","132,213",,,,,,,,
,,,,,AWT,"131,703","139,548","137,036","139,672","137,630",,,,,,,,
,,,,,ADT Tu-Th,"131,295","138,080","136,503","138,551","137,724",,,,,,,,
,,,,,ADT Sa,"120,572","131,707","129,808","130,555","128,115",,,,,,,,
,,,,,ADT Su,"94,288","104,569","105,815","111,993","113,560",,,,,,,,
082,GOSSAU (AB),,SG,A 1,ADT,"58,239","63,162","63,143","63,597","64,564","64,093","61,130","64,966","66,613","65,997","63,258","60,830","63,289"
,,,,,AWT,"61,616","65,121","66,446","67,526","68,037","68,255","63,800","68,709","68,316","68,119","66,837","64,172","66,377"
,,,,,ADT Tu-Th,"61,195","65,248","66,341","67,256","68,455","67,993","63,397","68,441","67,643","67,527","66,976","63,269","66,083"
,,,,,ADT Sa,"55,647","63,970","60,651","59,349","60,536","57,455","56,548","60,676","65,483","63,127","60,042","59,678","60,280"
,,,,,ADT Su,"45,457","52,556","51,766","53,334","54,007","54,643","50,361","56,062","58,382","56,667","52,158","49,900","52,874"
083,VILLENEUVE (AR),,VD,A 9,ADT,"65,149","71,928","69,127","64,747","65,659","67,811","70,139","70,699","68,640","67,575","63,923","67,146","67,693"
,,,,,AWT,"65,491","71,296","69,094","66,955","67,401","69,932","71,526","71,292","68,661","68,762","65,707","67,979","68,678"
,,,,,ADT Tu-Th,"63,005","68,393","67,489","65,816","66,757","69,123","70,509","69,202","67,752","67,191","64,800","66,177","67,201"
,,,,,ADT Sa,"69,635","81,162","75,065","67,362","66,072","68,206","71,251","72,869","72,981","68,978","67,349","72,191","71,035"
,,,,,ADT Su,"60,055","65,858","63,327","55,644","57,929","60,476","61,054","66,915","64,184","59,348","53,358","60,868","60,642"
084,"ST. GALLEN, ROSENB'TUNNEL (AB)",,SG,A 1,ADT,"70,121","74,243","74,266","73,614","73,399","72,034","68,307","73,961","75,566","75,355","73,539","70,676","72,904"
,,,,,AWT,"75,128","77,831","79,406","79,922","78,563","77,055","72,573","79,871","78,944","79,062","79,363","76,386","77,784"
,,,,,ADT Tu-Th,"74,001","77,305","78,934","79,518","78,620","76,036","72,248","79,011","77,893","78,310","79,305","74,978","77,098"
,,,,,ADT Sa,"66,723","74,214","70,928","67,164","67,951","67,821","61,684","68,480","72,650","70,117","68,182","68,270","68,698"
,,,,,ADT Su,"50,811","56,331","56,018","56,887","57,159","58,104","50,397","58,828","59,907","59,277","55,600","52,292","55,971"
087,GUETTINGEN,,TG,H 13,ADT,"9,011","9,834","10,502","10,936","10,899","11,375","10,376","11,582","11,050","10,243","9,882","9,717","10,452"
,,,,,AWT,"9,360","10,199","10,863","11,369","11,240","11,627","10,635","11,994","11,197","10,623","10,463","10,302","10,809"
,,,,,ADT Tu-Th,"9,195","10,064","10,803","11,314","11,077","11,436","10,608","11,804","11,038","10,601","10,433","9,973","10,688"
,,,,,ADT Sa,"9,500","10,169","11,001","11,731","11,164","12,161","10,640","11,614","11,526","10,133","10,121","10,353","10,853"
,,,,,ADT Su,"7,087","7,671","8,489","8,965","9,206","10,014","8,625","10,184","9,765","8,171","7,322","7,244","8,598"
093,UMF. WINTERTHUR (AB),,ZH,A 1,ADT,"89,094","95,904","100,129","103,815","103,936","105,511","101,852","104,630","105,806","103,652","100,615","95,141","100,847"
,,,,,AWT,"92,944","98,560","103,025","107,263","105,977","107,532","104,417","107,242","106,124","105,881","103,330","98,432","103,364"
,,,,,ADT Tu-Th,"92,259","98,408","102,873","107,015","105,283","106,252","104,054","106,011","104,925","105,120","103,245","97,120","102,737"
,,,,,ADT Sa,"89,327","98,224","101,650","104,703","104,913","107,672","100,359","104,023","111,019","103,626","103,532","97,717","102,330"
,,,,,ADT Su,"71,964","80,300","86,442","91,729","94,386","97,335","88,593","96,430","98,841","90,860","86,838","81,904","88,949"
095,"THUN, ALLMENDTUNNEL (AB)",,BE,A 6,ADT,"43,192","46,933","44,830","42,472","44,488","47,172","46,229","50,830","44,796","44,858","41,645","43,094","45,041"
,,,,,AWT,"43,671","46,827","45,985","44,882","46,162","48,235","47,607","52,044","44,678","46,025","44,101","44,244","46,179"
,,,,,ADT Tu-Th,"42,262","45,416","45,563","44,523","45,686","47,803","47,475","51,087","43,989","45,644","43,912","43,417","45,544"
,,,,,ADT Sa,"45,283","52,518","46,514","43,008","43,827","47,205","46,925","49,652","48,072","45,292","42,368","44,476","46,210"
,,,,,ADT Su,"39,409","41,879","38,296","34,082","38,114","43,604","37,611","47,764","42,170","37,716","31,097","38,150","39,228"
096,DOMAT/EMS (AB),,GR,A 13,ADT,"32,540","36,130","35,145","36,112","35,738","40,547","40,136","43,304","40,219","36,994","30,276","32,634","36,651"
,,,,,AWT,"33,333","35,936","36,105","37,313","36,770","40,899","40,404","43,353","39,895","37,202","32,481","33,558","37,275"
,,,,,ADT Tu-Th,"31,641","34,338","34,966","36,787","36,178","39,632","38,682","41,654","37,935","35,799","31,521","32,312","35,977"
,,,,,ADT Sa,"32,554","39,507","34,277","35,364","34,724","40,789","39,617","43,767","41,973","37,573","27,616","33,829","36,668"
,,,,,ADT Su,"29,042","33,725","31,983","32,605","32,421","39,216","39,114","42,756","40,246","35,215","24,113","28,603","34,001"
098,CASTASEGNA,,GR,H 3,ADT,"4,377","5,063","4,740","4,417","4,155","5,132","5,651","6,073","4,949","4,553","3,755","4,927","4,817"
,,,,,AWT,"4,261","4,919","4,824","4,695","4,431","5,149","5,774","6,244","5,050","4,756","4,179","5,127","4,952"
,,,,,ADT Tu-Th,"3,908","4,539","4,594","4,598","4,287","4,988","5,555","6,130","4,997","4,546","4,069","4,765","4,755"
,,,,,ADT Sa,"4,716","5,238","4,397","4,238","3,707","5,200","5,659","6,121","4,724","4,175","3,114","4,897","4,655"
,,,,,ADT Su,"4,618","5,607","4,733","3,610","3,446","5,030","4,938","5,463","4,616","3,763","2,699","4,247","4,388"
099,UMF. S-CHANF,,GR,H 27,ADT,"3,629","3,988","3,809","3,391","3,299","4,531","4,871","5,292","4,105","3,912","3,017","3,644","3,959"
,,,,,AWT,"3,659","3,974","3,849","3,785","3,588","4,626","4,951","5,474","4,187","4,088","3,441","3,809","4,121"
,,,,,ADT Tu-Th,"3,510","3,860","3,747","3,758","3,488","4,513","4,926","5,366","4,100","4,078","3,456","3,735","4,054"
,,,,,ADT Sa,"3,745","4,513","3,750","2,756","2,766","4,667","4,926","5,079","3,779","3,502","2,285","3,416","3,743"
,,,,,ADT Su,"3,403","3,531","3,699","2,501","2,619","4,127","4,359","4,864","3,984","3,308","2,049","3,219","3,464"
100,CIRCONVAL. BELLINZONA (AS),,TI,A 2,ADT,,,,,,,,,,"55,143","41,322","42,526",
,,,,,AWT,,,,,,,,,,"53,610","43,093","43,500",
,,,,,ADT Tu-Th,,,,,,,,,,"50,905","42,029","42,328",
,,,,,ADT Sa,,,,,,,,,,"61,931","39,516","44,469",
,,,,,ADT Su,,,,,,,,,,"57,173","36,042","37,822",
102,RHEINFELDEN (AB),,AG,A 3,ADT,,,,"69,026","68,896","68,199","65,776","63,260",,"70,604","69,454","65,310",
,,,,,AWT,,,,"74,582","72,697","73,498","69,726","68,102",,"73,883","73,865","69,820",
,,,,,ADT Tu-Th,,,,"74,688","73,486","73,682","70,448","67,733",,"73,631","73,920","69,455",
,,,,,ADT Sa,,,,"63,322","63,554","60,617","57,542","56,651",,"65,540","65,438","61,896",
,,,,,ADT Su,,,,"54,310","58,275","55,591","51,297","52,628",,"56,809","55,824","51,800",
104,MURI BE S (AB),,BE,A 6,ADT,"54,039","58,459","56,835","55,729","57,844","59,026","57,970","61,874","57,109",,,"55,187",
,,,,,AWT,"56,359","59,859","59,145","59,088","60,537","61,664","60,501","64,568","57,972",,,"57,497",
,,,,,ADT Tu-Th,"55,453","59,019","59,483","58,965","60,612","61,631","60,758","63,948","57,637",,,"56,839",
,,,,,ADT Sa,"52,759","60,497","56,209","54,448","55,229","56,623","55,368","58,738","58,422",,,"54,390",
,,,,,ADT Su,"44,856","49,420","47,756","45,386","49,147","51,834","46,018","55,510","51,049",,,"47,629",
105,BAAR N (AB),,ZG,A 14,ADT,,,,,,,,,,,,"21,144",
,,,,,AWT,,,,,,,,,,,,"23,026",
,,,,,ADT Tu-Th,,,,,,,,,,,,"23,108",
,,,,,ADT Sa,,,,,,,,,,,,"19,518",
,,,,,ADT Su,,,,,,,,,,,,"15,644",
107,WUENNEWIL (AB),,FR,A 12,ADT,"25,384","27,851","26,953","26,936","27,149","28,150","29,965","29,870","28,257","28,268","26,881","28,021","27,810"
,,,,,AWT,"25,793","27,335","27,374","27,517","27,954","28,666","30,461","30,260","28,605","28,671","27,643","28,202","28,219"
,,,,,ADT Tu-Th,"25,473","26,643","26,978","27,401","27,805","28,090","29,952","30,191","27,826","28,006","27,325","27,383","27,781"
,,,,,ADT Sa,"27,802","32,955","28,000","27,002","26,814","28,428","30,400","29,820","28,225","28,644","27,893","30,812","28,840"
,,,,,ADT Su,"21,648","25,327","24,140","24,957","24,105","26,244","26,680","28,612","26,373","25,575","22,822","25,531","25,191"
110,"SIMPLON, JOSEFGALERIE S",,VS,A 9,ADT,"2,098","2,459","2,686","3,449","3,779","4,433","5,214","5,253","4,089","3,483","2,432","2,667","3,511"
,,,,,AWT,"1,882","2,271","2,520","3,060","3,240","3,758","4,748","4,535","3,652","3,156","2,299","2,502","3,144"
,,,,,ADT Tu-Th,"1,768","2,086","2,434","2,801","3,024","3,512","4,422","4,157","3,272","2,930","2,142","2,288","2,922"
,,,,,ADT Sa,"2,611","2,717","2,894","4,663","4,374","5,085","6,783","6,291","5,108","4,396","2,728","3,483","4,247"
,,,,,ADT Su,"2,638","3,144","3,174","3,935","5,448","6,247","6,328","6,781","5,479","4,457","2,671","2,699","4,421"
111,"FRUTIGEN S, KANDERGRUND",,BE,H 223,ADT,"5,925","6,341","5,944","5,601","6,080","6,946","7,624","9,012","6,985","6,470","4,841","5,990","6,485"
,,,,,AWT,"5,379","5,466","5,352","5,279","5,633","6,374","7,315","8,546","6,194","6,058","4,661","5,408","5,980"
,,,,,ADT Tu-Th,"5,072","4,955","5,126","5,109","5,249","6,214","7,201","8,103","5,813","5,866","4,468","5,184","5,714"
,,,,,ADT Sa,"7,643","10,099","7,586","7,035","7,124","7,696","8,886","9,346","9,298","7,797","5,448","7,378","7,901"
,,,,,ADT Su,"6,955","6,954","6,788","5,717","6,915","8,352","8,141","10,285","9,027","7,514","4,955","7,102","7,389"
112,PONT DE THIELLE,,NE,H 10,ADT,"18,782","20,043","21,042","21,646","22,850","23,086","21,458","21,525","22,072","21,271","21,209","19,180","21,181"
,,,,,AWT,"20,311","21,499","22,511","23,604","24,192","24,739","22,806","23,105","23,011","22,659","23,017","21,038","22,690"
,,,,,ADT Tu-Th,"20,247","21,529","22,600","23,499","24,079","24,824","22,891","22,908","23,145","22,574","23,150","20,884","22,682"
,,,,,ADT Sa,"18,808","19,744","21,585","22,758","23,408","23,308","21,063","21,145","22,543","20,653","21,963","19,070","21,390"
,,,,,ADT Su,"12,034","13,058","14,332","14,378","16,653","17,430","14,102","16,578","16,435","13,906","13,221","12,748","14,633"
113,"BASEL, SCHWARZWALDBR. LOKALVERK.",,BS,A2,ADT,,,,,,"48,333","47,656","49,845","49,903","49,621","49,409","45,274",
,,,,,AWT,,,,,,"54,293","51,842","55,618","53,352","53,125","53,966","50,284",
,,,,,ADT Tu-Th,,,,,,"54,029","51,893","55,789","53,430","53,320","54,427","49,735",
,,,,,ADT Sa,,,,,,"45,103","41,599","44,279","46,897","46,556","48,164","44,579",
,,,,,ADT Su,,,,,,"30,620","29,642","35,238","33,937","32,534","32,428","28,202",
115,"LUZERN, REUSSPORTTUNNEL (AB)",,LU,A 2,ADT,"95,903","98,944","98,786","102,344","104,630",,,,,,,,
,,,,,AWT,"101,240","104,021","105,496","109,508","109,685",,,,,,,,
,,,,,ADT Tu-Th,"100,537","103,550","105,200","108,819","108,725",,,,,,,,
,,,,,ADT Sa,"93,561","96,429","94,362","100,986","102,458",,,,,,,,
,,,,,ADT Su,"74,295","76,077","75,027","79,372","85,573",,,,,,,,
117,HUENENBERG S (AB),,ZG,A 4,ADT,"77,649","81,536","84,880","85,568","89,241","90,376","86,440","87,342",,,"84,494","78,019",
,,,,,AWT,"83,113","86,190","90,755","92,945","94,748","95,136","90,755","92,923",,,"90,798","83,784",
,,,,,ADT Tu-Th,"83,274","86,314","91,101","93,242","95,701","94,727","91,128","93,727",,,"91,673","84,044",
,,,,,ADT Sa,"72,010","77,295","78,974","79,904","84,070","86,403","79,676","81,376",,,"79,717","74,280",
,,,,,ADT Su,"58,120","62,510","66,110","64,752","71,286","77,159","68,390","73,710",,,"64,057","60,336",
118,"BERN, FELSENAUVIADUKT (AB)",,BE,A 1,ADT,"98,178","105,517","107,186","107,819","110,867","112,963","110,600","113,760","110,510","111,161","107,229","103,019","108,241"
,,,,,AWT,"105,323","111,218","114,575","116,252","118,509","120,608","116,708","122,034","115,280","116,797","115,651","110,328","115,220"
,,,,,ADT Tu-Th,"104,164","109,972","114,212","115,878","118,958","119,297","115,844","120,668","114,274","115,888","115,167","108,192","114,337"
,,,,,ADT Sa,"93,735","103,862","101,733","100,143","101,348","106,389","101,221","105,017","104,981","103,977","100,921","99,197","101,906"
,,,,,ADT Su,"70,296","78,670","81,607","84,825","88,288","91,863","84,861","93,463","89,808","85,937","79,852","79,984","84,302"
119,ERLENBACH I.S.,,BE,H 11,ADT,"7,913","8,945","7,952","7,172","7,895","8,812","9,267","9,887","8,913","8,559","7,529","8,934","8,482"
,,,,,AWT,"7,688","8,547","8,023","7,585","8,068","8,903","9,304","10,003","8,700","8,705","7,975","8,890","8,536"
,,,,,ADT Tu-Th,"7,308","8,305","7,944","7,497","7,789","8,860","9,282","9,735","8,524","8,678","7,937","8,724","8,388"
,,,,,ADT Sa,"8,428","10,245","8,033","7,239","7,820","8,477","9,761","9,377","9,835","8,699","7,457","9,146","8,668"
,,,,,ADT Su,"8,494","9,634","7,572","5,749","7,240","8,732","8,566","9,924","9,165","7,583","5,818","8,948","8,092"
120,SISIKON S,,UR,A 4,ADT,,,,"15,856","16,729","19,242","17,820","20,507","17,806","16,673","13,743","13,937",
,,,,,AWT,,,,"15,845","16,279","18,019","17,967","19,571","16,974","16,260","13,828","13,983",
,,,,,ADT Tu-Th,,,,"15,527","15,517","17,099","17,156","18,594","16,164","15,524","13,343","13,545",
,,,,,ADT Sa,,,,"16,208","17,603","21,602","18,386","21,384","20,532","18,163","13,570","14,410",
,,,,,ADT Su,,,,"15,659","17,750","21,743","16,407","22,897","19,657","17,560","13,577","13,464",
121,"COLOMBIER, AREUSE (AR)",,NE,A 5,ADT,"37,215","39,761","41,172","41,082","42,170","43,163","38,940","39,307","42,212","41,142","41,644","38,183","40,488"
,,,,,AWT,"41,630","43,843","46,070","45,960","46,254","48,113","42,196","43,655","45,374","44,751","46,725","42,384","44,698"
,,,,,ADT Tu-Th,"41,791","44,213","46,655","45,864","47,043","48,477","42,402","43,778","46,722","44,890","47,099","42,253","45,024"
,,,,,ADT Sa,"31,279","34,146","35,038","37,043","37,416","37,894","33,739","34,946","37,572","34,725","36,875","34,841","35,506"
,,,,,ADT Su,"22,537","24,967","26,734","27,511","29,774","30,175","25,418","28,445","29,458","26,808","26,091","25,705","27,055"
122,"FRAUENFELD W, KEFIKON (AB)",,TG,A 7,ADT,"34,069","36,861","38,548","40,032","39,750","39,422","38,917","39,159","40,977","40,452","40,286","37,225","38,809"
,,,,,AWT,"37,222","39,761","41,333","43,238","42,192","42,185","41,088","42,487","42,892","42,988","43,412","40,725","41,609"
,,,,,ADT Tu-Th,"37,157","39,958","41,669","43,307","42,039","42,973","41,286","42,566","42,990","43,157","43,590","40,147","41,735"
,,,,,ADT Sa,"32,663","34,919","37,938","40,509","39,251","39,224","37,406","36,706","40,719","38,742","40,556","36,576","37,986"
,,,,,ADT Su,"21,318","24,307","27,460","29,029","29,994","30,343","27,948","30,106","30,700","27,585","27,512","25,406","27,715"
123,SCHAFFHAUSEN N (AB),,SH,A 4,ADT,"28,274","29,848","31,402","33,116","32,782","34,368","32,123","33,854","33,856","32,398","31,663","30,583","32,027"
,,,,,AWT,"30,368","31,884","33,339","35,072","34,325","35,783","33,491","35,240","34,742","33,628","33,658","32,614","33,655"
,,,,,ADT Tu-Th,"29,751","31,456","32,948","34,613","33,407","34,989","33,072","34,440","34,159","33,023","33,252","31,771","33,070"
,,,,,ADT Sa,"28,131","28,935","31,349","33,549","32,648","36,039","31,264","34,461","34,930","31,970","32,331","31,702","32,308"
,,,,,ADT Su,"19,172","20,583","23,320","26,308","26,435","28,540","25,117","28,729","27,908","25,753","23,016","22,728","24,916"
127,ORBE N (AR),,VD,A 9,ADT,"16,913","18,516","18,525","19,068","19,443","19,642","20,274","20,021","19,468","19,538","18,451","18,131","19,001"
,,,,,AWT,"18,489","19,899","20,211","20,871","20,973","21,317","21,682","21,521","20,671","21,029","20,586","19,707","20,579"
,,,,,ADT Tu-Th,"18,126","19,480","20,006","20,686","20,898","21,031","21,291","21,163","20,577","20,692","20,334","19,167","20,298"
,,,,,ADT Sa,"14,924","17,347","16,928","17,305","17,271","17,299","17,975","18,157","17,805","16,921","16,217","17,298","17,122"
,,,,,ADT Su,"11,570","12,768","13,039","14,234","15,187","15,622","14,475","16,570","14,514","13,584","12,145","13,168","13,977"
129,"HAGENBUCH, STEGEN (AB)",,ZH,A 1,ADT,"47,797","52,556","53,059","54,439","54,528","55,123","52,830","55,143","56,130","55,391","53,364","51,071","53,446"
,,,,,AWT,"48,883","52,770","54,254","56,071","55,635","56,261","53,967","56,480","56,019","56,149","54,384","52,206","54,402"
,,,,,ADT Tu-Th,"48,400","52,500","54,034","55,870","55,595","55,603","53,571","55,833","55,206","55,478","54,287","51,393","53,972"
,,,,,ADT Sa,"49,152","55,843","52,999","53,461","53,816","54,190","51,632","53,815","58,435","55,327","54,512","52,339","53,793"
,,,,,ADT Su,"41,932","48,199","48,100","49,652","50,594","51,952","47,490","51,792","54,436","51,100","48,134","46,254","49,110"
131,TAMINS,,GR,H 19,ADT,"12,916","14,198","13,020","11,266","11,177","12,634","13,055","14,140","12,569","12,003","10,597","12,463","12,497"
,,,,,AWT,"12,656","13,538","12,897","11,718","11,594","12,859","13,242","14,512","12,517","12,249","11,296","12,481","12,628"
,,,,,ADT Tu-Th,"11,795","12,768","12,428","11,519","11,389","12,854","12,863","14,136","12,091","12,003","11,106","12,042","12,243"
,,,,,ADT Sa,"13,798","16,629","13,508","10,974","10,815","12,163","12,963","13,318","12,641","11,873","9,941","12,979","12,577"
,,,,,ADT Su,"13,355","15,064","13,051","9,954","9,783","12,201","12,073","13,582","12,786","10,722","8,456","12,058","11,876"
132,"PARDISLA, CHLUSTUNNEL",,GR,A 28,ADT,"18,622","19,674","17,966","16,454","15,987","18,302","17,637","18,771","18,350","17,774","16,023","17,850","17,774"
,,,,,AWT,"18,900","19,245","18,328","17,584","16,985","19,003","18,045","19,586","18,348","18,069","17,037","18,023","18,258"
,,,,,ADT Tu-Th,"17,924","18,235","17,817","17,546","16,916","18,561","17,638","19,133","17,732","17,684","16,680","17,311","17,756"
